Compund Name,RT_Exp(min),,,,,,,
2-fluoro NNEI,8.69,,,,,,,
2-Fluoropentylindole,8.19,,,,,,,
"3,5-AB-CHMFUPPYCA",10.7,,,,,,,
3-CAF,13.02,,,,,,,
3-fluoro AMB,8.38,,,,,,,
3-Fluropentylindole,8.31,,,,,,,
4-chloro CUMYL-PINACA,13.61,,,,,,,
4-cyano CUMYL-BUT7AICA,4.7,,,,,,,
4-cyano MDMB-BUTINACA,5.6,,,,,,,
4-fluoro-CUMYL-5-fluoro-PICA,8.27,,,,,,,
4-fluoro-CUMYL-5-fluoro-PINACA,9.41,,,,,,,
4-fluoro ADB,8.87,,,,,,,
4-fluoro AMB,7.39,,,,,,,
4-fluoro MDMB-BUTINACA 3-carboxyindazole metabolite,3.97,,,,,,,
4-fluoro MDMB-BUTINACA,7.54,,,,,,,
4-fluoro MDMB-BUTINACA butanoic acid metabolite,6.28,,,,,,,
"5,3-AB-CHMFUPPYCA",9.98,,,,,,,
5-bromo APINACA,14.43,,,,,,,
5-bromo THJ 018,12.93,,,,,,,
5-chloro AB-PINACA,6.44,,,,,,,
5-chloro AKB48,14.17,,,,,,,
5-chloro NNEI,9.39,,,,,,,
5-chloro THJ 018,12.45,,,,,,,
"5-fluoro-3,5-AB-PFUPPYCA",6.82,,,,,,,
"5-fluoro-3,5-ADB-PFUPPYCA",8.23,,,,,,,
5-fluoro-tert-Butylbenzyl-PINACA,12.02,,,,,,,
5-Fluoropentylindole,7.24,,,,,,,
5-Fluoropentyl-3-pyridinoylindole(hydrochloride),4.86,,,,,,,
5-fluoro 7-APAICA,10.01,,,,,,,
5-fluoro 7-QUPAIC,6.13,,,,,,,
5-fluoro AB-PINACA 3-carboxyindazole metabolite,4.37,,,,,,,
5-fluoro AB-PINACA N-(4-hydroxypentyl) metabolite,3.79,,,,,,,
5-fluoro ADB-PINACA,6.22,,,,,,,
5-fluoro ADB,8.67,,,,,,,
5-fluoro ADB metabolite 2,6.15,,,,,,,
